nl,nl_template,sql,sql_template
How many patients expired because of heart failure in the hospital,How many patients expired because of PROBLEM_1 in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired due to Diabetes in the hospital,Which patients expired due to PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired due to heart failure in the hospital,Which patients expired due to PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired because of Diabetes in the hospital,Which patients expired because of PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients expired because of heart failure in the hospital,Which patients expired because of PROBLEM_1 in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which Diabetes patients expired in the hospital,Which PROBLEM_1 patients expired in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which heart failure patients expired in the hospital,Which PROBLEM_1 patients expired in the hospital,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many Diabetes patients expired in the hospital,How many PROBLEM_1 patients expired in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%Diabetes%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
How many heart failure patients expired in the hospital,How many PROBLEM_1 patients expired in the hospital,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%heart failure%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from DIAGNOSES_ICD where icd9_code IN (select distinct icd9_code from D_ICD_DIAGNOSES where long_title like '%PROBLEM_1%'))
Which patients were BUDDHIST and died at the hospital?,Which patients were RELIGION_1 and died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which patients were CATHOLIC and died at the hospital?,Which patients were RELIGION_1 and died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which BUDDHIST patients died at the hospital?,Which RELIGION_1 patients died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which CATHOLIC patients died at the hospital?,Which RELIGION_1 patients died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which patients belonged to BUDDHIST religion and died at the hospital?,Which patients belonged to RELIGION_1 religion and died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which patients belonged to CATHOLIC religion and died at the hospital?,Which patients belonged to RELIGION_1 religion and died at the hospital?,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many patients were BUDDHIST and died at the hospital?,How many patients were RELIGION_1 and died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many patients were CATHOLIC and died at the hospital?,How many patients were RELIGION_1 and died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many BUDDHIST patients died at the hospital?,How many RELIGION_1 patients died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many CATHOLIC patients died at the hospital?,How many RELIGION_1 patients died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many people belonged to BUDDHIST religion and died at the hospital?,How many people belonged to RELIGION_1 religion and died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%BUDDHIST%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
How many people belonged to CATHOLIC religion and died at the hospital?,How many people belonged to RELIGION_1 religion and died at the hospital?,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%CATHOLIC%'),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from ADMISSIONS where religion like '%RELIGION_1%')
Which patients expired after Januvia,Which patients expired after TREATMENT_1,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Januvia%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
Which patients expired after Digoxin,Which patients expired after TREATMENT_1,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Digoxin%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
Which patients died after Januvia,Which patients died after TREATMENT_1,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Januvia%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
Which patients died after Digoxin,Which patients died after TREATMENT_1,select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Digoxin%')),select distinct subject_id from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
How many patients expired after getting Januvia,How many patients expired after getting TREATMENT_1,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Januvia%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
How many patients expired after getting Digoxin,How many patients expired after getting TREATMENT_1,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Digoxin%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
How many patients died after getting Januvia,How many patients died after getting TREATMENT_1,select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%Januvia%')),select count(distinct subject_id) from PATIENTS where dod_hosp is not NULL and subject_id IN (select distinct subject_id from PROCEDURES_ICD where icd9_code IN (select icd9_code from D_ICD_PROCEDURES where long_title like '%TREATMENT_1%'))
